시도명,시군구명,자치단체코드,과세년도,세목명, 부과금액 , 수납급액 , 결손금액 ,미수납금액,징수율,과오납반환액,데이터기준일자
전북특별자치도,전주시 완산구,52111,2022,취득세,90000000000,90000000000,10000000,100000000,99.9,300000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,등록면허세,6000000000,6000000000,3000000,70000000,98.8,30000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,레저세,300000000,300000000,,,100,,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,지역자원시설세,7000000000,7000000000,20000000,200000000,97.1,20000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,지방교육세,40000000000,40000000000,20000000,1000000000,97.3,200000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,지방소비세,30000000000,30000000000,,,100,,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,주민세,6000000000,6000000000,4000000,200000000,96.2,5000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,지방소득세,70000000000,70000000000,700000000,2000000000,95.7,3000000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,재산세,50000000000,50000000000,30000000,2000000000,96.9,90000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,자동차세,30000000000,30000000000,50000000,3000000000,91.2,500000000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,담배소비세,40000000000,40000000000,,,100,40000,2023-09-04
전북특별자치도,전주시 완산구,52111,2022,과년도수입,20000000000,6000000000,4000000000,6000000000,60.3,2000000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,취득세,90000000000,90000000000,200000000,90000000,99.6,300000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,등록면허세,8000000000,8000000000,700000,30000000,99.6,50000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,지역자원시설세,8000000000,8000000000,8000000,200000000,97.1,7000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,지방교육세,20000000000,20000000000,30000000,900000000,96.2,300000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,주민세,10000000000,10000000000,1000000,200000000,97.8,2000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,지방소득세,70000000000,70000000000,1000000000,1000000000,96.3,3000000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,재산세,50000000000,50000000000,20000000,1000000000,97.3,50000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,자동차세,80000000000,80000000000,50000000,2000000000,97,800000000,2023-09-04
전북특별자치도,전주시 덕진구,52113,2022,과년도수입,10000000000,4000000000,1000000000,5000000000,42.6,1000000000,2023-09-04
