dataTitle,parkArea,parkFact4,parkGubun,parkLoadAddr,posx,posy,parkFact4-1,parkFact4-2,parkFact4-3,parkFact4-4,parkFact4-5
세병공원,200481.0,"족구장,풋살장,농구장,다목적구장",근린공원,전북특별자치도 전주시 덕진구 송천동2가 1316,127.1201996,35.8719799,족구장,풋살장,농구장,다목적구장,
원장동공원,16103.7,운동기구,근린공원,전북특별자치도 전주시 덕진구 장동 1065,127.055235,35.841451,운동기구,,,,
하늘공원,25864.0,"농구대,운동기구",근린공원,전북특별자치도 전주시 덕진구 덕진동2가 682,127.1069502,35.8452358,농구대,운동기구,,,
아중18호공원,1500.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동2가 869-2,127.1693156,35.8344393,운동기구,,,,
나들목공원,56941.0,운동기구,근린공원,전북특별자치도 전주시 덕진구 용정동 124-41,127.0556506,35.8754524,운동기구,,,,
송천유적공원,6760.6,운동기구,어린이공원,전북특별자치도 전주시 덕진구 송천동1가 816-1,127.1187477,35.864918,운동기구,,,,
송천제2호공원,2004.1,운동기구,어린이공원,전북특별자치도 전주시 덕진구 송천동1가 844-8,127.1174795,35.8612567,운동기구,,,,
솔내공원,2000.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 송천동2가 1274,127.1268701,35.8668845,농구대,운동기구,,,
붓내공원,1650.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 송천동2가 1270,127.1253815,35.868031,운동기구,,,,
팔복공원,20723.0,"족구장,게이트볼구장,농구대,운동기구",근린공원,전북특별자치도 전주시 덕진구 팔복동3가 404,127.0870282,35.8514420545,족구장,게이트볼구장,농구대,운동기구,
아람길공원,10066.0,"족구장,게이트볼구장,운동기구",근린공원,전북특별자치도 전주시 덕진구 인후동1가 858-3,127.1675625,35.8308192,족구장,게이트볼구장,운동기구,,
중상보공원,11384.0,"배구장,축구장,농구대,운동기구",근린공원,전북특별자치도 전주시 덕진구 우아동2가 907,127.1711276,35.8304932,배구장,축구장,농구대,운동기구,
신덕공원,1655.9,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동2가 854-1,127.1662817,35.8376161,운동기구,,,,
팔복지구 3호공원,7176.0,"회전무대,정글집,농구대,배드민턴장,운동기구",근린공원,전북특별자치도 전주시 덕진구 팔복동2가 505,127.0932997859,35.8558168969,회전무대,정글집,농구대,배드민턴장,운동기구
팔과공원,11512.8,"농구대,게이트볼구장",근린공원,전북특별자치도 전주시 덕진구 팔복동2가 830-7,127.095419,35.8554553,농구대,게이트볼구장,,,
언덕공원,1502.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 774-1,127.1535205,35.8353115,농구대,운동기구,,,
안골노인복지공원,1502.0,"게이트볼구장,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 764-6,127.1571397,35.8381589,게이트볼구장,운동기구,,,
안골공원,1502.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 753-4,127.1570832,35.8407786,운동기구,,,,
북일길공원,1502.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동3가 756-5,127.1551273,35.8429704,운동기구,,,,
문화로공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 951-5,127.1700718,35.8270853,농구대,운동기구,,,
한범로공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 943-6,127.1672959,35.8238151,농구대,운동기구,,,
하평공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 918-2,127.1655009,35.8280352,농구대,운동기구,,,
가재미공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 906-1,127.1621407,35.8261569,농구대,운동기구,,,
꿈마을공원,2280.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 890-2,127.1668328,35.8303238,운동기구,,,,
구총목공원,1500.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 882-1,127.1625277,35.8292439,운동기구,,,,
도란길공원,1500.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 인후동1가 854-3,127.1633686,35.8342223,운동기구,,,,
북가재미공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 843-1,127.1615091,35.8319092,농구대,운동기구,,,
진버들공원,2550.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동1가 802-2,127.1633275,35.8354955,농구대,운동기구,,,
오동제공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 우아동2가 910-4,127.1705155,35.8286846,농구대,운동기구,,,
왜들공원,1500.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동2가 895-6,127.1719287,35.8321076,운동기구,,,,
석소공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 우아동2가 873-1,127.1692889109,35.8342553,농구대,운동기구,,,
호동골공원,1973.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동1가 1124-5,127.1772739,35.8254205,운동기구,,,,
수성로공원,1158.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동1가 1118-1,127.175069,35.8263103,운동기구,,,,
하인교공원,1500.0,"농구대,운동기구",어린이공원,전북특별자치도 전주시 덕진구 우아동1가 1104-1,127.1713421,35.8249724,농구대,운동기구,,,
산정공원,1500.0,운동기구,어린이공원,전북특별자치도 전주시 덕진구 산정동 878-9,127.170663,35.835702886,운동기구,,,,
는들공원,16675.1,"배구장,족구장,축구장,운동기구",근린공원,전북특별자치도 전주시 덕진구 중동 808,127.065662,35.833529,배구장,족구장,축구장,운동기구,
금평공원,3305.2,"게이트볼구장,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동2가 1556-1,127.1495855287,35.8448602,게이트볼구장,운동기구,,,
구숙사공원,3066.0,"게이트볼구장,운동기구",어린이공원,전북특별자치도 전주시 덕진구 인후동2가 1544-8,127.1471596,35.8409084386,게이트볼구장,운동기구,,,
신기공원,333.2,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동3가 753-29,127.1630224,35.8472644,운동기구,,,,
황산공원,1000.7,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동3가 750-49,127.1559015,35.8452209,운동기구,,,,
동신공원,1000.6,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동3가 744-139,127.1586183,35.8508605,운동기구,,,,
소공공원,1371.8,운동기구,어린이공원,전북특별자치도 전주시 덕진구 우아동3가 743-23,127.156899787,35.8538231667,운동기구,,,,
