연도,특성별(1),특성별(2),한 달에 2~3번 정도,일주일에 1번,일주일에 2번,일주일에 3번,일주일에 4번,일주일에 5번,일주일에 6번,매일,전혀 하지 않았다
2023년,전체,소계,6.6,9,12.5,16.5,7.1,5.2,1.5,11.1,30.5
2023년,지역별,완산구,5.9,8.5,10.7,18.2,8.7,5.4,1.4,9.4,31.7
2023년,지역별,덕진구,7.4,9.5,14.5,14.6,5.3,4.9,1.6,13,29.3
2023년,성별,남자,7.4,9.8,12.1,16.1,7.6,5,1.4,11.4,29.3
2023년,성별,여자,5.9,8.3,13,16.8,6.5,5.4,1.6,10.9,31.7
2023년,연령그룹별,15~19세,7.8,7.4,9.1,9.7,4,3.5,-,5.6,52.8
2023년,연령그룹별,20~29세,7.6,8.6,12.5,14.8,6.8,4,2.1,3.4,40.1
2023년,연령그룹별,30~39세,8.9,7.2,11.9,16.9,5.1,4.8,1.2,6.7,37.2
2023년,연령그룹별,40~49세,9.2,12.4,14.3,15.5,6.2,6,2.3,6.4,27.9
2023년,연령그룹별,50~59세,5.5,12.4,14.4,18.4,8.4,6.2,0.4,8,26.3
2023년,연령그룹별,60세 이상,3.7,5.9,11.2,18,8.5,5.1,1.9,24.1,21.6
2021년,전체,소계,7.2,9.2,13.2,15.7,6,5.3,1.7,11.1,30.5
2021년,지역별,완산구,6.9,10,12.2,17.1,5.3,4.4,1.3,13.9,28.9
2021년,지역별,덕진구,7.6,8.3,14.3,14.1,6.7,6.4,2.2,8.1,32.3
2021년,성별,남자,7.2,10.4,13.5,14.9,6.1,5.3,2.2,10.3,30.2
2021년,성별,여자,7.2,8.1,13,16.5,5.9,5.4,1.2,11.9,30.9
2021년,연령별,15~19세,7.5,6.4,9.2,14.1,4.4,2.4,1.4,2.9,51.7
2021년,연령별,20~29세,10.5,8.7,11.7,13.4,6.9,5.7,1.9,8.3,33
2021년,연령별,30~39세,8.4,12.3,16.5,12.4,4.4,5,1.6,7.6,31.9
2021년,연령별,40~49세,7.5,9.6,18.5,15.7,5.9,5,1.2,5.5,31.2
2021년,연령별,50~59세,7.3,11.5,13.3,17.8,6.9,6.7,1.7,10.9,23.8
2021년,연령별,60세 이상,4.1,6.5,9.4,17.9,6.1,5.3,2,21.3,27.3
2019년,전체,소계,8.8,9.2,11.3,13.9,5.5,5,1.3,8,36.9
2019년,지역별,완산구,7,8.1,11.5,15.3,6.2,4.3,1.3,9.2,37.2
2019년,지역별,덕진구,11,10.5,11.1,12.3,4.7,5.9,1.4,6.5,36.5
2019년,성별,남자,7.9,9.8,11.2,14.9,6.5,5.7,1.4,8.3,34.2
2019년,성별,여자,9.6,8.6,11.4,13,4.6,4.4,1.3,7.6,39.4
2019년,연령별,15~29세,8.3,9.7,9.3,11.9,5.2,5.2,1.4,4.7,44.2
2019년,연령별,30~39세,9.9,10.3,11.9,13,4.5,4.6,0.2,3.9,41.8
2019년,연령별,40~49세,11.1,10.5,13.1,17,5.3,4.6,0.9,4.6,32.8
2019년,연령별,50~59세,8.1,10.6,12.7,14.5,6,6,2.4,9.5,30.2
2019년,연령별,60세 이상,7.1,5.6,10.5,13.6,6.5,4.6,1.6,15.5,35
