시군구,읍면동,인구 (명),65세이상고령자 (명),인구밀도 (명/㎢)
완산구,중앙동,7770,2165,1.3
완산구,품남동,4042,1486,2.02
완산구,노송동,11991,3417,2.08
완산구,완산동,5445,1589,0.99
완산구,동서학동,6311,1909,15.64
완산구,서서학동,8693,2426,2.97
완산구,중화산1동,14510,2786,1.33
완산구,중화산2동,19831,2215,1.61
완산구,평화1동,12949,3633,1.11
완산구,평화2동,45967,7306,15.61
완산구,서신동,41094,5082,2.4
완산구,삼천1동,11538,2183,0.7
완산구,삼천2동,13504,2689,0.74
완산구,삼천3동,22020,3577,27.3
완산구,효자1동,10777,2660,1.02
완산구,효자2동,10093,2151,0.84
완산구,효자3동,14751,2945,0.75
완산구,효자4동,41501,3611,7.75
완산구,효자5동,37259,2281,6.34
덕진구,진북동,14149,4191,1.71
덕진구,인후1동,18327,3355,1.08
덕진구,인후2동,11370,2942,1.48
덕진구,인후3동,32188,4022,1.73
덕진구,덕진동,21514,2955,4.78
덕진구,금암1동,9322,1432,1.45
덕진구,금암2동,10149,2649,1.05
덕진구,팔복동,7757,1974,7.38
덕진구,우아1동,12563,2128,2.1
덕진구,우아2동,14634,2334,22.24
덕진구,호성동,20016,3380,7.6
덕진구,송천1동,64004,4793,4.8
덕진구,송천2동,26281,3869,12.17
덕진구,조촌동,12733,2475,24.28
덕진구,여의동,30837,3427,16.34
덕진구,혁신동,20280,948,3.35
