,공원명,공원면적,도로명주소,시군구,읍면동
0,세병공원,200481.0,전북특별자치도 전주시 덕진구 송천동2가 1316,덕진구,송천동2가
1,원장동공원,16103.7,전북특별자치도 전주시 덕진구 장동 1065,덕진구,장동
2,하늘공원,25864.0,전북특별자치도 전주시 덕진구 덕진동2가 682,덕진구,덕진동2가
3,아중18호공원,1500.0,전북특별자치도 전주시 덕진구 우아동2가 869-2,덕진구,우아동2가
4,나들목공원,56941.0,전북특별자치도 전주시 덕진구 용정동 124-41,덕진구,용정동
5,송천유적공원,6760.6,전북특별자치도 전주시 덕진구 송천동1가 816-1,덕진구,송천동1가
6,송천제2호공원,2004.1,전북특별자치도 전주시 덕진구 송천동1가 844-8,덕진구,송천동1가
7,솔내공원,2000.0,전북특별자치도 전주시 덕진구 송천동2가 1274,덕진구,송천동2가
8,붓내공원,1650.0,전북특별자치도 전주시 덕진구 송천동2가 1270,덕진구,송천동2가
9,팔복공원,20723.0,전북특별자치도 전주시 덕진구 팔복동3가 404,덕진구,팔복동3가
10,아람길공원,10066.0,전북특별자치도 전주시 덕진구 인후동1가 858-3,덕진구,인후동1가
11,중상보공원,11384.0,전북특별자치도 전주시 덕진구 우아동2가 907,덕진구,우아동2가
12,신덕공원,1655.9,전북특별자치도 전주시 덕진구 우아동2가 854-1,덕진구,우아동2가
13,팔복지구 3호공원,7176.0,전북특별자치도 전주시 덕진구 팔복동2가 505,덕진구,팔복동2가
14,팔과공원,11512.8,전북특별자치도 전주시 덕진구 팔복동2가 830-7,덕진구,팔복동2가
15,언덕공원,1502.0,전북특별자치도 전주시 덕진구 인후동1가 774-1,덕진구,인후동1가
16,안골노인복지공원,1502.0,전북특별자치도 전주시 덕진구 인후동1가 764-6,덕진구,인후동1가
17,안골공원,1502.0,전북특별자치도 전주시 덕진구 인후동1가 753-4,덕진구,인후동1가
18,북일길공원,1502.0,전북특별자치도 전주시 덕진구 우아동3가 756-5,덕진구,우아동3가
19,문화로공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 951-5,덕진구,인후동1가
20,한범로공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 943-6,덕진구,인후동1가
21,하평공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 918-2,덕진구,인후동1가
22,가재미공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 906-1,덕진구,인후동1가
23,꿈마을공원,2280.0,전북특별자치도 전주시 덕진구 인후동1가 890-2,덕진구,인후동1가
24,구총목공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 882-1,덕진구,인후동1가
25,도란길공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 854-3,덕진구,인후동1가
26,북가재미공원,1500.0,전북특별자치도 전주시 덕진구 인후동1가 843-1,덕진구,인후동1가
27,진버들공원,2550.0,전북특별자치도 전주시 덕진구 인후동1가 802-2,덕진구,인후동1가
28,오동제공원,1500.0,전북특별자치도 전주시 덕진구 우아동2가 910-4,덕진구,우아동2가
29,왜들공원,1500.0,전북특별자치도 전주시 덕진구 우아동2가 895-6,덕진구,우아동2가
30,석소공원,1500.0,전북특별자치도 전주시 덕진구 우아동2가 873-1,덕진구,우아동2가
31,호동골공원,1973.0,전북특별자치도 전주시 덕진구 우아동1가 1124-5,덕진구,우아동1가
32,수성로공원,1158.0,전북특별자치도 전주시 덕진구 우아동1가 1118-1,덕진구,우아동1가
33,하인교공원,1500.0,전북특별자치도 전주시 덕진구 우아동1가 1104-1,덕진구,우아동1가
34,산정공원,1500.0,전북특별자치도 전주시 덕진구 산정동 878-9,덕진구,산정동
35,는들공원,16675.1,전북특별자치도 전주시 덕진구 중동 808,덕진구,중동
36,금평공원,3305.2,전북특별자치도 전주시 덕진구 인후동2가 1556-1,덕진구,인후동2가
37,구숙사공원,3066.0,전북특별자치도 전주시 덕진구 인후동2가 1544-8,덕진구,인후동2가
38,신기공원,333.2,전북특별자치도 전주시 덕진구 우아동3가 753-29,덕진구,우아동3가
39,황산공원,1000.7,전북특별자치도 전주시 덕진구 우아동3가 750-49,덕진구,우아동3가
40,동신공원,1000.6,전북특별자치도 전주시 덕진구 우아동3가 744-139,덕진구,우아동3가
41,소공공원,1371.8,전북특별자치도 전주시 덕진구 우아동3가 743-23,덕진구,우아동3가
42,금암체련공원,3304.9,전북특별자치도 전주시 덕진구 금암동 1575-7,덕진구,금암동
43,꾀꼬리공원,3303.0,전북특별자치도 전주시 덕진구 금암동 1546-1,덕진구,금암동
44,인후공원,451980.0,전북특별자치도 전주시 덕진구 인후동1가 산 4-6,덕진구,인후동1가
45,금암공원,2033.7,전북특별자치도 전주시 덕진구 금암동 756-4,덕진구,금암동
46,정문공원,35918.0,전북특별자치도 전주시 덕진구 중동 832,덕진구,중동
47,오공공원,18988.0,전북특별자치도 전주시 덕진구 중동 830,덕진구,중동
48,가련산공원,299713.0,전북특별자치도 전주시 덕진구 덕진동2가 산 27-1,덕진구,덕진동2가
49,팔복첨단산업3-1,17397.5,전북특별자치도 전주시 덕진구 팔복동 2가 589,덕진구,팔복동
50,덕진공원,3373838.0,전북특별자치도 전주시 덕진구 덕진동1가 1316-2,덕진구,덕진동1가
51,바위백이공원,59814.0,전북특별자치도 전주시 완산구 효자동3가 1858,전북특별자치도 전주시 완산구청,효자동3가
52,효자제5호공원,1580.4,전북특별자치도 전주시 완산구 효자동3가 1713-18,전북특별자치도 전주시 완산구청,효자동3가
53,효자제4호공원,1721.0,전북특별자치도 전주시 완산구 효자동3가 1687-13,전북특별자치도 전주시 완산구청,효자동3가
54,효자제2호공원,1672.4,전북특별자치도 전주시 완산구 효자동3가 1615-22,전북특별자치도 전주시 완산구청,효자동3가
55,마전숲,17848.0,전북특별자치도 전주시 완산구 효자동3가 1526-1,전북특별자치도 전주시 완산구청,효자동3가
56,문학대2공원,71962.0,전북특별자치도 전주시 완산구 효자동3가 1523-2,전북특별자치도 전주시 완산구청,효자동3가
57,서곡공원,2871.0,전북특별자치도 전주시 완산구 효자동3가 1487,전북특별자치도 전주시 완산구청,효자동3가
58,서곡공원,29536.0,전북특별자치도 전주시 완산구 효자동3가 1485,전북특별자치도 전주시 완산구청,효자동3가
59,양지뜸공원,4842.0,전북특별자치도 전주시 완산구 효자동3가 1473-4,전북특별자치도 전주시 완산구청,효자동3가
60,신덕공원,2482.0,전북특별자치도 전주시 완산구 효자동3가 1443-2,전북특별자치도 전주시 완산구청,효자동3가
61,서중공원,1684.0,전북특별자치도 전주시 완산구 효자동3가 1433,전북특별자치도 전주시 완산구청,효자동3가
62,모롱지공원,11657.0,전북특별자치도 전주시 완산구 효자동3가 1407-3,전북특별자치도 전주시 완산구청,효자동3가
63,용호근린공원,31330.0,전북특별자치도 전주시 완산구 효자동2가 1333-2,전북특별자치도 전주시 완산구청,효자동2가
64,나무향공원,2276.0,전북특별자치도 전주시 완산구 효자동2가 1329-7,전북특별자치도 전주시 완산구청,효자동2가
65,불빛공원,2579.0,전북특별자치도 전주시 완산구 효자동2가 1322,전북특별자치도 전주시 완산구청,효자동2가
66,토방공원,2477.0,전북특별자치도 전주시 완산구 효자동2가 1315-5,전북특별자치도 전주시 완산구청,효자동2가
67,이바디공원,14061.0,전북특별자치도 전주시 완산구 효자동2가 1314-8,전북특별자치도 전주시 완산구청,효자동2가
68,물빛채공원,4371.0,전북특별자치도 전주시 완산구 효자동2가 1314-7,전북특별자치도 전주시 완산구청,효자동2가
69,금파공원,2326.0,전북특별자치도 전주시 완산구 효자동2가 1314-3,전북특별자치도 전주시 완산구청,효자동2가
70,사이언스공원,2983.0,전북특별자치도 전주시 완산구 효자동2가 1310,전북특별자치도 전주시 완산구청,효자동2가
71,효자제7호공원,1538.9,전북특별자치도 전주시 완산구 효자동2가 1260-18,전북특별자치도 전주시 완산구청,효자동2가
72,푸른연꽃공원,1498.0,전북특별자치도 전주시 완산구 효자동2가 1205-1,전북특별자치도 전주시 완산구청,효자동2가
73,달맞이공원,1891.0,전북특별자치도 전주시 완산구 효자동2가 1201-3,전북특별자치도 전주시 완산구청,효자동2가
74,솔바람공원,11342.0,전북특별자치도 전주시 완산구 효자동2가 1200-1,전북특별자치도 전주시 완산구청,효자동2가
75,효열공원,12195.0,전북특별자치도 전주시 완산구 효자동2가 1193-7,전북특별자치도 전주시 완산구청,효자동2가
76,도화공원,1984.0,전북특별자치도 전주시 완산구 효자동2가 1193-5,전북특별자치도 전주시 완산구청,효자동2가
77,선율공원,1909.0,전북특별자치도 전주시 완산구 효자동2가 1192-2,전북특별자치도 전주시 완산구청,효자동2가
78,한지공원,1952.0,전북특별자치도 전주시 완산구 효자동2가 1191-3,전북특별자치도 전주시 완산구청,효자동2가
79,효자제8호공원,1537.5,전북특별자치도 전주시 완산구 효자동2가 1164-1,전북특별자치도 전주시 완산구청,효자동2가
80,은빛공원,2054.0,전북특별자치도 전주시 완산구 효자동1가 690-5,전북특별자치도 전주시 완산구청,효자동1가
81,안행공원,1442.0,전북특별자치도 전주시 완산구 효자동1가 681,전북특별자치도 전주시 완산구청,효자동1가
82,효림공원,3144.0,전북특별자치도 전주시 완산구 효자동1가 659-4,전북특별자치도 전주시 완산구청,효자동1가
